id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_il_6m,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,revol_bal_joint,sec_app_earliest_cr_line,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_il_6m,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,sec_app_mths_since_last_major_derog,hardship_flag,hardship_type,hardship_reason,hardship_status,deferral_term,hardship_amount,hardship_start_date,hardship_end_date,payment_plan_start_date,hardship_length,hardship_dpd,hardship_loan_status,orig_projected_additional_accrued_interest,hardship_payoff_balance_amount,hardship_last_payment_amount,issue_d
null,null,8400,8400,8400, 36 months,  9.75%,270.06,B,B3,Water Distribution Operator ,1 year,OWN,30000,Source Verified,Fully Paid,n,null,null,credit_card,Credit card refinancing,765xx,TX,22.8,0,Aug-2010,1,null,null,9,0,8694,19.4%,14,w,0.00,0,8663.31,8663.31,8400,263.31,0,0,0,Oct-2016,322.11,null,Jun-2017,0,null,1,INDIVIDUAL,null,null,null,0,0,25072,2,1,1,1,2,16378,100,1,3,3974,41,44900,2,0,3,4,2786,36206,19.4,0,0,67,39,1,1,0,1,null,1,null,0,5,5,8,8,5,8,9,5,9,0,0,0,2,100,12.5,0,0,61278,25072,44900,16378,null,null,null,null,null,null,null,null,null,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Mar-2016
null,null,9000,9000,9000, 36 months,  5.32%,271.04,A,A1,gift planning consultant,10+ years,MORTGAGE,90000,Not Verified,Fully Paid,n,null,null,home_improvement,Home improvement,581xx,ND,17.97,0,Dec-1989,1,null,null,20,0,19386,23.9%,42,w,0.00,0,9361.7411294899,9361.74,9000,361.74,0,0,0,Feb-2017,6927.7,null,Feb-2017,0,null,1,INDIVIDUAL,null,null,null,0,0,151359,3,2,1,1,4,41686,77,4,5,13152,45,81100,0,0,2,6,7966,48684,28.3,0,0,180,315,3,3,3,3,null,3,null,0,3,5,10,16,12,16,27,5,20,0,0,0,5,100,10,0,0,288144,61072,67900,54244,null,null,null,null,null,null,null,null,null,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Mar-2016
null,null,20000,20000,20000, 36 months, 11.47%,659.24,B,B5,Accounting Manager,6 years,RENT,60000,Verified,Current,n,null,null,debt_consolidation,Debt consolidation,604xx,IL,18.74,0,Sep-1998,2,26,32,10,1,10021,58%,21,w,11949.24,11949.24,10617.93,10617.93,8050.76,2567.17,0,0,0,Aug-2017,659.24,Sep-2017,Aug-2017,0,104,1,INDIVIDUAL,null,null,null,0,290,40975,0,1,0,1,13,30954,88,4,7,3786,58,17350,1,0,2,8,4552,2163,50,0,0,141,210,7,7,1,7,null,4,72,0,4,8,6,8,5,8,15,7,9,null,0,0,4,62,0,1,0,52371,40975,8650,35021,null,null,null,null,null,null,null,null,null,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Mar-2016
null,null,30000,30000,30000, 36 months, 12.99%,1010.68,C,C2,Owner,10+ years,MORTGAGE,125000,Verified,Current,n,null,null,home_improvement,Home improvement,894xx,NV,10.62,1,Sep-2001,0,3,null,5,0,5082,66.9%,10,w,18087.46,18087.46,16127.58,16127.58,11912.54,4215.04,0,0,0,Aug-2017,1010.68,Sep-2017,Aug-2017,0,null,1,INDIVIDUAL,null,null,null,0,0,76268,0,2,0,2,17,27726,64,0,1,2021,65,7600,1,0,1,3,15254,79,96.2,0,0,174,168,15,15,2,168,null,12,null,0,1,2,1,1,6,2,2,2,5,0,0,0,0,77.8,100,0,0,116743,32808,2100,43093,null,null,null,null,null,null,null,null,null,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Mar-2016
null,null,32000,32000,32000, 36 months, 10.75%,1043.86,B,B4,Attorney,10+ years,RENT,108000,Source Verified,Current,n,null,null,debt_consolidation,Debt consolidation,906xx,CA,25.9,0,Oct-1999,0,null,null,15,0,43274,76.7%,21,w,19035.88,19035.88,16803.48,16803.48,12964.12,3839.36,0,0,0,Aug-2017,1043.86,Sep-2017,Aug-2017,0,null,1,INDIVIDUAL,null,null,null,0,0,143119,1,3,0,0,36,99845,49,1,3,11114,65,56400,0,3,0,3,10223,4071,90.8,0,0,197,161,5,5,0,5,null,null,null,0,7,9,7,7,9,12,12,9,15,0,0,0,1,100,85.7,0,0,187373,143119,44100,130973,null,null,null,null,null,null,null,null,null,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Mar-2016
null,null,16300,16300,16300, 36 months,  9.75%,524.05,B,B3,Marketing/Admissions Director,< 1 year,OWN,56130,Source Verified,Current,n,null,null,credit_card,Credit card refinancing,420xx,KY,24.74,0,Oct-2004,0,null,54,16,1,14633,73.2%,41,w,9640.12,9640.12,8393.34,8393.34,6659.88,1707.26,26.2,0,0,Aug-2017,524.05,Sep-2017,Aug-2017,0,null,1,INDIVIDUAL,null,null,null,0,0,29347,0,2,1,1,10,14714,58,0,2,1969,65,20000,1,0,1,3,2096,816,89.9,0,0,137,125,18,10,0,18,null,10,null,0,6,12,6,7,26,13,15,12,16,0,0,0,1,100,83.3,1,0,45195,29347,8100,25195,null,null,null,null,null,null,null,null,null,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Mar-2016
null,null,10500,10500,10500, 36 months, 11.99%,348.71,C,C1,associated ,6 years,RENT,21000,Not Verified,Current,n,null,null,debt_consolidation,Debt consolidation,341xx,FL,22.46,0,Sep-2011,0,null,null,5,0,6989,41.6%,8,w,6292.85,6292.85,5617.82,5617.82,4207.15,1410.67,0,0,0,Aug-2017,348.71,Sep-2017,Aug-2017,0,null,1,INDIVIDUAL,null,null,null,0,0,15346,0,1,0,3,14,8357,81,0,0,2637,57,16800,1,2,2,3,3069,8604,37.7,0,0,43,54,27,14,0,30,null,0,null,0,3,4,3,3,4,4,4,4,5,0,0,0,0,100,33.3,0,0,27111,15346,13800,10311,null,null,null,null,null,null,null,null,null,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Mar-2016
null,null,10000,10000,10000, 36 months, 12.99%,336.9,C,C2,Regresion Tester,1 year,RENT,60000,Source Verified,Fully Paid,n,null,null,debt_consolidation,Debt consolidation,787xx,TX,25.16,0,Apr-2007,0,35,null,18,0,16291,75.4%,25,w,0.00,0,11088.670063805,11088.67,10000,1088.67,0,0,0,Mar-2017,7734.1,null,Apr-2017,0,null,1,INDIVIDUAL,null,null,null,0,0,77604,0,8,1,5,7,61313,94,0,1,7376,89,21600,3,3,6,6,4565,1709,90.5,0,0,104,107,22,7,0,22,null,7,35,0,6,6,6,7,13,10,12,6,18,0,0,0,1,96,83.3,0,0,86947,77604,18000,65347,null,null,null,null,null,null,null,null,null,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Mar-2016
null,null,25000,25000,25000, 60 months, 21.18%,678.87,E,E3,IT Manager,< 1 year,RENT,110000,Source Verified,Charged Off,n,null,null,debt_consolidation,Debt consolidation,331xx,FL,18.8,0,Jun-2004,1,null,null,14,0,16447,87.5%,22,w,0.00,0,4693.26,4693.26,1754.05,2939.21,0,0,0,Nov-2016,678.87,null,Aug-2017,0,null,1,INDIVIDUAL,null,null,null,0,0,66026,1,7,1,1,7,43587,96,1,3,7399,75,18800,0,0,1,5,5079,2353,87.5,0,0,123,141,2,2,0,2,null,0,null,0,4,4,6,7,13,6,8,4,14,0,0,0,2,100,80,0,0,88466,66026,18800,45500,null,null,null,null,null,null,null,null,null,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Mar-2016
null,null,8000,8000,8000, 36 months, 11.99%,265.68,C,C1,School bus driver/trainer,5 years,MORTGAGE,45000,Verified,Current,n,null,null,home_improvement,Home improvement,132xx,NY,30.24,0,Oct-2011,0,null,null,11,0,9409,56%,16,w,4794.61,4794.61,4240.22,4240.22,3205.39,1034.83,0,0,0,Aug-2017,265.68,Sep-2017,Aug-2017,0,null,1,INDIVIDUAL,null,null,null,0,0,84374,3,2,2,3,5,32661,91,2,4,3574,80,16800,0,6,1,8,7670,3745,60.2,0,0,49,53,4,4,1,23,null,8,null,0,2,7,2,3,6,8,9,7,11,0,0,0,5,100,50,0,0,96105,42070,9400,36062,null,null,null,null,null,null,null,null,null,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Mar-2016
null,null,24000,24000,24000, 60 months, 15.31%,574.88,C,C5,Sr. claims specialist ,10+ years,MORTGAGE,54500,Not Verified,Current,n,null,null,debt_consolidation,Debt consolidation,721xx,AR,32.17,0,Oct-1992,1,51,71,17,1,21636,50.9%,38,w,19264.23,19264.23,9157.25,9157.25,4735.77,4421.48,0,0,0,Aug-2017,574.88,Sep-2017,Aug-2017,0,null,1,INDIVIDUAL,null,null,null,0,0,182862,0,1,0,1,19,43301,null,0,6,6276,51,42500,1,0,2,7,11429,2367,82.5,0,0,126,281,15,15,4,22,51,0,51,1,3,13,4,13,5,15,29,13,17,0,0,0,0,80.6,66.7,0,0,218471,64937,13500,51343,null,null,null,null,null,null,null,null,null,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Mar-2016
null,null,10000,10000,10000, 36 months, 14.46%,344.02,C,C4,Bankru,10+ years,MORTGAGE,46820,Source Verified,Late (16-30 days),n,null,null,debt_consolidation,Debt consolidation,850xx,AZ,32.63,0,Jul-2002,0,46,null,24,0,21049,77.7%,49,w,6399.10,6399.1,5200.46,5200.46,3600.9,1599.56,0,0,0,Jul-2017,688.04,Sep-2017,Aug-2017,0,null,1,INDIVIDUAL,null,null,null,0,0,278196,3,7,3,5,2,74908,100,1,7,1985,94,27100,1,0,1,12,11592,2482,79.7,0,0,164,126,7,2,5,7,46,7,46,1,10,15,10,16,20,15,24,15,24,0,0,0,4,83.3,70,0,0,335643,95957,12200,75180,null,null,null,null,null,null,null,null,null,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Mar-2016
null,null,12500,12500,12500, 36 months,  8.39%,393.96,B,B1,salon owner and stylist,7 years,OWN,94000,Not Verified,Current,n,null,null,debt_consolidation,Debt consolidation,481xx,MI,16.55,4,Nov-2001,1,7,null,28,0,15411,16.7%,48,w,7329.18,7329.18,6291.71,6291.71,5170.82,1120.89,0,0,0,Aug-2017,393.96,Sep-2017,Aug-2017,0,11,1,INDIVIDUAL,null,null,null,0,0,28931,3,2,2,2,5,13425,79,3,6,4100,29,79460,1,0,5,8,1113,12878,41,1,0,152,169,5,5,4,5,null,5,7,1,5,13,8,11,11,25,32,13,28,0,0,1,5,90.9,25,0,0,97934,28931,23800,16958,null,null,null,null,null,null,null,null,null,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Mar-2016
null,null,35000,35000,35000, 36 months, 14.46%,1204.06,C,C4,Supervisor - IT Security,4 years,MORTGAGE,120000,Verified,Current,n,null,null,credit_card,Credit card refinancing,535xx,WI,32.38,0,May-2002,0,null,null,10,0,50878,89.3%,21,w,21285.64,21285.64,19208.73,19208.73,13714.36,5494.37,0,0,0,Aug-2017,1204.06,Sep-2017,Aug-2017,0,null,1,INDIVIDUAL,null,null,null,0,0,325721,0,3,0,1,16,45591,55,0,0,30261,74,57000,0,4,0,1,32572,5090,90.2,0,0,128,120,27,16,3,72,null,null,null,0,3,4,3,8,6,4,10,4,10,0,0,0,0,100,100,0,0,380008,96469,52000,80000,null,null,null,null,null,null,null,null,null,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Mar-2016
null,null,5400,5400,5400, 36 months,  5.32%,162.62,A,A1,Management ,10+ years,MORTGAGE,35000,Source Verified,Current,n,null,null,other,Other,465xx,IN,6.69,0,Oct-1999,0,null,null,11,0,5946,10.8%,22,w,3105.79,3105.79,2598.73,2598.73,2294.21,304.52,0,0,0,Aug-2017,162.62,Sep-2017,Aug-2017,0,null,1,INDIVIDUAL,null,null,null,0,0,70985,0,0,1,2,9,0,null,1,3,5105,11,55200,0,0,1,6,7099,37277,12.1,0,0,24,197,8,7,2,20,null,7,null,0,2,4,4,10,2,10,18,4,11,0,0,0,3,100,0,0,0,123200,5946,42400,0,null,null,null,null,null,null,null,null,null,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Mar-2016
null,null,28000,28000,28000, 36 months,  7.39%,869.57,A,A4,graphic designer ii,1 year,RENT,60000,Verified,Current,n,null,null,debt_consolidation,Debt consolidation,750xx,TX,21.48,0,Aug-1994,0,null,null,6,0,17197,34.4%,16,w,16315.52,16315.52,13890.13,13890.13,11684.48,2205.65,0,0,0,Aug-2017,869.57,Sep-2017,Aug-2017,0,null,1,INDIVIDUAL,null,null,null,0,0,29077,0,1,0,0,41,11880,null,0,0,17022,34,50000,0,0,0,0,4846,32803,34.4,0,0,128,259,37,37,0,37,null,null,null,0,3,3,5,5,6,5,10,3,6,0,0,0,0,100,20,0,0,87315,29077,50000,37315,null,null,null,null,null,null,null,null,null,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Mar-2016
null,null,6950,6950,6950, 36 months,  7.39%,215.84,A,A4,Reverse Mortgage Specialist,2 years,OWN,50000,Source Verified,Fully Paid,n,null,null,home_improvement,null,331xx,FL,5.66,0,May-1995,0,55,53,5,4,7096,59.1%,26,w,0.00,0,7280.3477070502,7280.35,6950,330.35,0,0,0,Dec-2016,5775.18,null,Jul-2017,0,55,1,INDIVIDUAL,null,null,null,0,0,7096,0,0,0,0,91,0,null,0,1,5255,59,12000,0,0,1,1,1419,2934,69.8,0,0,153,205,17,17,8,31,null,11,55,1,3,4,3,7,3,5,15,4,5,0,0,0,0,91.3,33.3,3,1,12000,7096,9700,0,null,null,null,null,null,null,null,null,null,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Mar-2016
null,null,17000,17000,17000, 60 months, 14.46%,399.63,C,C4,Program Director,10+ years,RENT,72456,Not Verified,Current,n,null,null,debt_consolidation,Debt consolidation,021xx,MA,5.58,0,Oct-1999,2,54,null,12,0,11382,48%,21,w,13585.39,13585.39,6366.77,6366.77,3414.61,2952.16,0,0,0,Aug-2017,399.63,Sep-2017,Oct-2016,0,75,1,INDIVIDUAL,null,null,null,0,0,37810,0,3,0,0,130,26428,179,0,9,3370,98,23700,0,0,4,9,3151,5719,52.7,0,0,197,27,18,18,0,19,null,5,null,0,3,7,5,8,9,9,12,7,12,0,0,0,0,94.7,20,0,0,38448,37810,12100,14748,null,null,null,null,null,null,null,null,null,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Mar-2016
null,null,25000,25000,25000, 36 months, 15.31%,870.44,C,C5,null,n/a,MORTGAGE,267800,Verified,Charged Off,n,null,null,debt_consolidation,Debt consolidation,208xx,MD,14.03,2,Jan-1998,0,14,null,15,0,855,7.7%,24,w,0.00,0,10162.81,10162.81,5220.47,2570.96,0,2371.38,426.8484,Jan-2017,870.44,null,Jun-2017,0,14,1,INDIVIDUAL,null,null,null,0,0,770909,3,7,3,3,1,167181,150,3,5,438,127,11100,0,0,0,9,51394,10245,7.7,0,0,130,114,6,1,3,6,null,13,null,2,4,4,6,9,10,6,9,4,15,0,0,1,7,75,0,0,0,887336,168268,11100,123070,null,null,null,null,null,null,null,null,null,null,null,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Mar-2016
